"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Heating stove","Percent","239","units","0","v95637322","1.11","2","","","","0"
"2013","Canada","2016A000011124","Electric heating stove","Percent","239","units","0","v95637323","1.12","9","E","","","0"
"2015","Canada","2016A000011124","Electric heating stove","Percent","239","units","0","v95637323","1.12","7","E","","","0"
"2017","Canada","2016A000011124","Electric heating stove","Percent","239","units","0","v95637323","1.12","4","E","","","0"
"2019","Canada","2016A000011124","Electric heating stove","Percent","239","units","0","v95637323","1.12","12","E","","","0"
"2021","Canada","2016A000011124","Electric heating stove","Percent","239","units","0","v95637323","1.12","12","","","","0"
"2013","Canada","2016A000011124","Natural gas heating stove","Percent","239","units","0","v95637324","1.13","7","E","","","0"
"2015","Canada","2016A000011124","Natural gas heating stove","Percent","239","units","0","v95637324","1.13","8","E","","","0"
"2017","Canada","2016A000011124","Natural gas heating stove","Percent","239","units","0","v95637324","1.13","7","E","","","0"
"2019","Canada","2016A000011124","Natural gas heating stove","Percent","239","units","0","v95637324","1.13","8","E","","","0"
"2021","Canada","2016A000011124","Natural gas heating stove","Percent","239","units","0","v95637324","1.13","13","","","","0"
"2013","Canada","2016A000011124","Oil heating stove","Percent","239","units","0","v95637325","1.14","5","E","","","0"
"2015","Canada","2016A000011124","Oil heating stove","Percent","239","units","0","v95637325","1.14","3","E","","","0"
"2017","Canada","2016A000011124","Oil heating stove","Percent","239","units","0","v95637325","1.14","","F","","","0"
"2019","Canada","2016A000011124","Oil heating stove","Percent","239","units","0","v95637325","1.14","","F","","","0"
"2021","Canada","2016A000011124","Oil heating stove","Percent","239","units","0","v95637325","1.14","","F","","","0"
"2013","Canada","2016A000011124","Wood heating stove","Percent","239","units","0","v95637326","1.15","83","","","","0"
"2015","Canada","2016A000011124","Wood heating stove","Percent","239","units","0","v95637326","1.15","85","","","","0"
"2017","Canada","2016A000011124","Wood heating stove","Percent","239","units","0","v95637326","1.15","89","","","","0"
"2019","Canada","2016A000011124","Wood heating stove","Percent","239","units","0","v95637326","1.15","82","","","","0"
"2021","Canada","2016A000011124","Wood heating stove","Percent","239","units","0","v95637326","1.15","75","","","","0"
"2013","Canada","2016A000011124","Propane heating stove","Percent","239","units","0","v95637329","1.18","3","E","","","0"
"2015","Canada","2016A000011124","Propane heating stove","Percent","239","units","0","v95637329","1.18","","F","","","0"
"2017","Canada","2016A000011124","Propane heating stove","Percent","239","units","0","v95637329","1.18","","F","","","0"
"2019","Canada","2016A000011124","Propane heating stove","Percent","239","units","0","v95637329","1.18","4","E","","","0"
