Latitude (decimal degrees):	49.220
Longitude (decimal degrees):	-123.055
Elevation (m):	99
Radiation database:	PVGIS-NSRDB


Slope: 36 deg. (optimum)
Azimuth: 10 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20130320:2000,840.53,832.53,140.13,13.17,40.43,7.85,6.76,0.0
20130320:2100,422.93,174.17,307.48,8.27,39.9,7.87,6.9,0.0
20130320:2200,213.21,31.25,219.34,5.06,36.19,6.97,6.21,0.0
20130320:2300,11.3,0.0,24.34,0.53,29.94,6.98,6.14,0.0
20130321:0000,55.75,0.0,78.42,1.71,22.22,7.1,6.69,0.0
20130321:0100,4.09,0.0,13.52,0.29,13.12,6.52,7.52,0.0
20130321:0200,0.0,0.0,1.8,0.04,3.47,5.95,6.48,0.0
20130321:0300,0.0,0.0,0.0,0.0,0.0,5.4,5.93,0.0
20130321:0400,0.0,0.0,0.0,0.0,0.0,4.66,6.07,0.0
20130321:0500,0.0,0.0,0.0,0.0,0.0,4.26,5.93,0.0
20130321:0600,0.0,0.0,0.0,0.0,0.0,3.96,5.52,0.0
20130321:0700,0.0,0.0,0.0,0.0,0.0,3.65,5.1,0.0
20130321:0800,0.0,0.0,0.0,0.0,0.0,3.42,4.69,0.0
20130321:0900,0.0,0.0,0.0,0.0,0.0,3.22,4.21,0.0
20130321:1000,0.0,0.0,0.0,0.0,0.0,2.97,4.07,0.0
20130321:1100,0.0,0.0,0.0,0.0,0.0,2.67,3.86,0.0
20130321:1200,0.0,0.0,0.0,0.0,0.0,2.52,3.31,0.0
20130321:1300,0.0,0.0,0.0,0.0,0.0,2.26,2.76,0.0
20130321:1400,0.0,0.0,0.0,0.0,0.0,1.87,2.55,0.0
20130321:1500,26.63,23.67,34.52,1.67,6.68,1.73,2.34,0.0
20130321:1600,219.42,200.24,76.35,4.92,16.2,3.15,2.21,0.0
20130321:1700,257.42,125.24,174.39,5.37,25.01,4.27,2.21,0.0
20130321:1800,637.08,617.51,124.29,10.86,32.55,5.15,2.21,0.0
20130321:1900,760.16,768.94,136.74,12.72,38.09,5.92,2.07,0.0
20130321:2000,826.53,853.67,144.33,13.58,40.83,6.32,2.14,0.0
20130321:2100,829.54,865.34,145.86,13.39,40.28,6.63,1.79,0.0
20130321:2200,771.7,799.24,142.48,12.13,36.53,6.8,1.24,0.0
20130321:2300,575.95,510.9,162.95,8.7,30.25,6.61,1.79,0.0
20130322:0000,499.82,463.77,115.19,7.04,22.5,6.24,2.41,0.0
20130322:0100,137.27,82.55,88.84,2.51,13.37,5.85,3.1,0.0
20130322:0200,32.53,35.78,24.81,0.73,3.72,5.2,3.24,0.0
20130322:0300,0.0,0.0,0.0,0.0,0.0,4.45,3.59,0.0
20130322:0400,0.0,0.0,0.0,0.0,0.0,3.74,3.72,0.0
20130322:0500,0.0,0.0,0.0,0.0,0.0,3.41,4.14,0.0
20130322:0600,0.0,0.0,0.0,0.0,0.0,3.12,4.41,0.0
20130322:0700,0.0,0.0,0.0,0.0,0.0,2.96,3.59,0.0
20130322:0800,0.0,0.0,0.0,0.0,0.0,2.75,3.72,0.0
20130322:0900,0.0,0.0,0.0,0.0,0.0,2.44,3.72,0.0
20130322:1000,0.0,0.0,0.0,0.0,0.0,2.2,3.72,0.0
20130322:1100,0.0,0.0,0.0,0.0,0.0,1.94,3.66,0.0
20130322:1200,0.0,0.0,0.0,0.0,0.0,1.73,3.59,0.0
20130322:1300,0.0,0.0,0.0,0.0,0.0,1.36,3.31,0.0
20130322:1400,0.0,0.0,0.0,0.0,0.0,1.18,3.03,0.0
20130322:1500,24.9,2.14,40.34,0.96,7.03,1.19,2.69,0.0
20130322:1600,49.69,0.0,70.31,1.53,16.55,2.27,2.41,0.0
20130322:1700,119.88,7.6,140.55,3.16,25.38,3.34,2.28,0.0
20130322:1800,148.96,8.1,172.19,3.84,32.94,4.14,2.07,0.0
20130322:1900,629.56,514.95,219.3,10.84,38.49,4.96,1.93,0.0
20130322:2000,590.52,389.34,297.8,10.53,41.23,5.43,2.14,0.0
20130322:2100,43.39,0.0,64.0,1.39,40.66,5.79,2.34,0.0
20130322:2200,79.91,0.0,105.46,2.29,36.88,5.9,2.62,0.0
20130322:2300,689.95,672.99,135.37,10.17,30.56,6.02,2.62,0.0
20130323:0000,509.65,473.81,116.51,7.23,22.77,5.95,2.34,0.0
20130323:0100,276.86,245.1,87.2,3.88,13.63,5.73,1.86,0.0
20130323:0200,36.37,39.18,26.9,0.8,3.97,5.17,1.66,0.0
20130323:0300,0.0,0.0,0.0,0.0,0.0,4.24,1.59,0.0
20130323:0400,0.0,0.0,0.0,0.0,0.0,2.6,1.38,0.0
20130323:0500,0.0,0.0,0.0,0.0,0.0,2.47,1.24,0.0
20130323:0600,0.0,0.0,0.0,0.0,0.0,3.88,0.69,0.0
20130323:0700,0.0,0.0,0.0,0.0,0.0,1.88,1.38,0.0
20130323:0800,0.0,0.0,0.0,0.0,0.0,0.65,1.45,0.0
20130323:0900,0.0,0.0,0.0,0.0,0.0,-0.2,1.72,0.0
20130323:1000,0.0,0.0,0.0,0.0,0.0,-0.65,1.93,0.0
20130323:1100,0.0,0.0,0.0,0.0,0.0,-0.35,2.14,0.0
20130323:1200,0.0,0.0,0.0,0.0,0.0,0.13,2.21,0.0
20130323:1300,0.0,0.0,0.0,0.0,0.0,0.52,2.21,0.0
20130323:1400,0.0,0.0,0.0,0.0,0.0,0.76,2.28,0.0
20130323:1500,22.94,0.0,38.76,0.84,7.38,1.07,2.14,0.0
20130323:1600,155.33,91.7,103.17,3.72,16.91,2.35,1.93,0.0
20130323:1700,455.56,421.86,104.51,8.35,25.75,3.91,1.93,0.0
20130323:1800,635.79,619.38,124.27,11.04,33.33,5.25,1.86,0.0
20130323:1900,759.78,770.31,136.74,12.9,38.89,5.68,1.86,0.0
20130323:2000,479.75,239.69,316.59,9.29,41.63,6.06,1.93,0.0
20130323:2100,622.9,448.84,286.01,10.82,41.04,6.55,1.79,0.0
20130323:2200,782.29,800.62,142.48,12.31,37.22,6.57,1.86,0.0
20130323:2300,670.42,662.82,134.0,10.11,30.86,6.53,1.59,0.0
20130324:0000,494.78,465.49,115.09,7.19,23.05,6.71,1.31,0.0
20130324:0100,269.76,240.83,85.89,3.88,13.89,6.45,0.97,0.0
20130324:0200,37.19,39.56,27.79,0.84,4.21,5.94,0.55,0.0
20130324:0300,0.0,0.0,0.0,0.0,0.0,5.29,0.55,0.0
20130324:0400,0.0,0.0,0.0,0.0,0.0,4.7,0.83,0.0
20130324:0500,0.0,0.0,0.0,0.0,0.0,3.53,1.03,0.0
20130324:0600,0.0,0.0,0.0,0.0,0.0,1.84,1.38,0.0
20130324:0700,0.0,0.0,0.0,0.0,0.0,0.23,1.93,0.0
20130324:0800,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0
20130324:0900,0.0,0.0,0.0,0.0,0.0,-0.25,1.86,0.0
20130324:1000,0.0,0.0,0.0,0.0,0.0,-0.82,2.0,0.0
20130324:1100,0.0,0.0,0.0,0.0,0.0,-0.41,1.79,0.0
20130324:1200,0.0,0.0,0.0,0.0,0.0,0.05,1.59,0.0
20130324:1300,0.0,0.0,0.0,0.0,0.0,-0.76,1.93,0.0
20130324:1400,0.0,0.0,0.0,0.0,0.0,-0.53,2.21,0.0
20130324:1500,26.13,0.53,42.31,0.94,7.73,0.29,2.0,0.0
20130324:1600,89.02,11.87,103.8,2.45,17.27,3.29,1.59,0.0
20130324:1700,187.01,48.55,175.55,4.45,26.13,5.63,1.17,0.0
20130324:1800,192.92,26.62,205.38,4.78,33.71,6.88,0.69,0.0
20130324:1900,376.45,148.65,292.24,7.94,39.29,7.08,0.97,0.0
20130324:2000,511.48,291.36,316.8,9.88,42.03,7.77,0.76,0.0
20130324:2100,395.05,158.05,310.11,8.25,41.41,8.26,0.48,0.0
20130324:2200,752.38,795.25,141.52,12.31,37.56,8.42,0.62,0.0
20130324:2300,446.89,303.6,225.82,7.72,31.17,8.61,0.69,0.0
20130325:0000,483.97,462.26,114.08,7.21,23.32,8.7,0.83,0.0
20130325:0100,266.47,240.29,85.02,3.92,14.14,8.53,1.24,0.0
20130325:0200,37.85,39.91,28.66,0.88,4.46,7.91,1.72,0.0
20130325:0300,0.0,0.0,0.0,0.0,0.0,6.88,2.0,0.0
20130325:0400,0.0,0.0,0.0,0.0,0.0,5.88,2.21,0.0
20130325:0500,0.0,0.0,0.0,0.0,0.0,5.05,2.34,0.0
20130325:0600,0.0,0.0,0.0,0.0,0.0,4.25,2.21,0.0
20130325:0700,0.0,0.0,0.0,0.0,0.0,3.82,2.0,0.0
20130325:0800,0.0,0.0,0.0,0.0,0.0,3.49,2.07,0.0
20130325:0900,0.0,0.0,0.0,0.0,0.0,3.43,2.07,0.0
20130325:1000,0.0,0.0,0.0,0.0,0.0,3.28,2.0,0.0
20130325:1100,0.0,0.0,0.0,0.0,0.0,3.02,2.07,0.0
20130325:1200,0.0,0.0,0.0,0.0,0.0,2.57,2.21,0.0
20130325:1300,0.0,0.0,0.0,0.0,0.0,2.46,2.28,0.0
20130325:1400,0.0,0.0,0.0,0.0,0.0,2.29,2.28,0.0
20130325:1500,33.63,30.03,39.19,2.04,8.08,2.68,1.86,0.0
20130325:1600,227.6,210.19,77.85,5.33,17.63,5.29,1.24,0.0
20130325:1700,445.61,424.61,104.56,8.53,26.5,7.7,0.9,0.0
20130325:1800,611.47,620.02,124.23,11.19,34.1,9.39,0.55,0.0
20130325:1900,717.6,769.01,136.66,13.03,39.69,10.31,0.21,0.0
20130325:2000,788.44,853.17,144.26,13.9,42.43,11.02,0.9,0.0
20130325:2100,800.34,863.25,145.73,13.68,41.79,11.44,1.24,0.0
20130325:2200,755.07,797.52,142.29,12.43,37.91,11.79,1.45,0.0
20130325:2300,653.9,663.29,132.56,10.25,31.47,11.96,1.72,0.0
20130326:0000,486.73,465.58,114.91,7.33,23.59,11.7,2.0,0.0
20130326:0100,269.36,245.03,86.02,4.04,14.4,10.95,1.93,0.0
20130326:0200,41.6,44.97,29.82,0.96,4.71,9.86,2.14,0.0
20130326:0300,0.0,0.0,0.0,0.0,0.0,8.69,2.41,0.0
20130326:0400,0.0,0.0,0.0,0.0,0.0,7.56,2.55,0.0
20130326:0500,0.0,0.0,0.0,0.0,0.0,6.33,2.48,0.0
20130326:0600,0.0,0.0,0.0,0.0,0.0,5.25,2.21,0.0
20130326:0700,0.0,0.0,0.0,0.0,0.0,4.66,2.0,0.0
20130326:0800,0.0,0.0,0.0,0.0,0.0,3.76,1.72,0.0
20130326:0900,0.0,0.0,0.0,0.0,0.0,2.87,1.72,0.0
20130326:1000,0.0,0.0,0.0,0.0,0.0,2.36,1.86,0.0
20130326:1100,0.0,0.0,0.0,0.0,0.0,2.11,2.07,0.0
20130326:1200,0.0,0.0,0.0,0.0,0.0,2.07,2.07,0.0
20130326:1300,0.0,0.0,0.0,0.0,0.0,1.73,2.0,0.0
20130326:1400,0.0,0.0,0.0,0.0,0.0,1.81,1.66,0.0
20130326:1500,8.32,0.0,19.83,0.43,8.43,2.9,1.31,0.0
20130326:1600,58.83,0.0,82.03,1.78,17.99,6.14,0.76,0.0
20130326:1700,228.67,88.14,187.59,5.25,26.87,8.9,0.34,0.0
20130326:1800,311.18,120.79,250.89,6.88,34.49,10.26,0.55,0.0
20130326:1900,411.19,187.99,300.52,8.58,40.09,10.75,1.38,0.0
20130326:2000,416.24,174.45,321.8,8.78,42.83,11.26,1.38,0.0
20130326:2100,526.44,318.12,317.43,10.09,42.17,11.77,1.24,0.0
20130326:2200,539.62,376.63,276.9,9.76,38.24,12.12,1.17,0.0
20130326:2300,635.68,648.84,131.04,10.13,31.77,12.33,1.17,0.0
20130327:0000,274.43,160.02,169.85,5.12,23.86,12.17,1.31,0.0
20130327:0100,108.33,48.2,94.11,2.43,14.65,11.82,1.38,0.0
20130327:0200,17.58,9.01,26.65,0.65,4.95,11.05,1.52,0.0
20130327:0300,0.0,0.0,0.0,0.0,0.0,9.93,1.72,0.0
20130327:0400,0.0,0.0,0.0,0.0,0.0,8.49,1.86,0.0
20130327:0500,0.0,0.0,0.0,0.0,0.0,7.5,2.0,0.0
20130327:0600,0.0,0.0,0.0,0.0,0.0,6.59,2.14,0.0
20130327:0700,0.0,0.0,0.0,0.0,0.0,5.96,2.07,0.0
20130327:0800,0.0,0.0,0.0,0.0,0.0,5.11,2.07,0.0
20130327:0900,0.0,0.0,0.0,0.0,0.0,4.21,1.86,0.0
20130327:1000,0.0,0.0,0.0,0.0,0.0,3.69,1.52,0.0
20130327:1100,0.0,0.0,0.0,0.0,0.0,3.34,1.52,0.0
20130327:1200,0.0,0.0,0.0,0.0,0.0,2.54,1.72,0.0
20130327:1300,0.0,0.0,0.0,0.0,0.0,1.97,1.93,0.0
20130327:1400,0.0,0.0,0.0,0.0,0.0,1.9,2.07,0.0
20130327:1500,21.3,0.0,36.96,0.8,8.78,2.62,1.72,0.0
20130327:1600,114.27,30.28,117.05,3.06,18.34,7.18,1.1,0.0
20130327:1700,438.2,422.57,104.46,8.62,27.24,10.08,0.69,0.0
20130327:1800,473.48,341.69,226.33,9.23,34.87,11.49,1.03,0.0
20130327:1900,614.13,511.45,232.47,11.31,40.49,11.89,1.66,0.0
20130327:2000,574.72,383.54,311.94,10.94,43.22,12.58,1.79,0.0
20130327:2100,796.49,852.94,144.01,13.68,42.54,13.11,1.93,0.0
20130327:2200,552.6,392.07,276.02,9.96,38.58,13.44,1.93,0.0
20130327:2300,479.5,353.42,222.5,8.31,32.07,13.47,1.79,0.0
20130328:0000,297.27,188.51,169.32,5.41,24.13,13.21,1.45,0.0
20130328:0100,22.24,0.0,39.66,0.86,14.9,12.9,0.9,0.0
20130328:0200,9.71,0.0,22.54,0.49,5.19,12.09,0.41,0.0
20130328:0300,0.0,0.0,0.0,0.0,0.0,10.47,0.76,0.0
20130328:0400,0.0,0.0,0.0,0.0,0.0,9.82,0.9,0.0
20130328:0500,0.0,0.0,0.0,0.0,0.0,8.32,1.17,0.0
20130328:0600,0.0,0.0,0.0,0.0,0.0,7.83,1.24,0.0
20130328:0700,0.0,0.0,0.0,0.0,0.0,5.28,2.34,0.0
20130328:0800,0.0,0.0,0.0,0.0,0.0,5.21,2.41,0.0
20130328:0900,0.0,0.0,0.0,0.0,0.0,4.98,2.21,0.0
20130328:1000,0.0,0.0,0.0,0.0,0.0,4.49,1.86,0.0
20130328:1100,0.0,0.0,0.0,0.0,0.0,3.83,1.59,0.0
20130328:1200,0.0,0.0,0.0,0.0,0.0,3.16,1.79,0.0
20130328:1300,0.0,0.0,0.0,0.0,0.0,2.71,2.07,0.0
20130328:1400,0.0,0.0,0.0,0.0,0.0,2.69,2.28,0.0
20130328:1500,38.3,35.44,41.38,2.31,9.13,3.73,2.0,0.0
20130328:1600,229.93,213.93,78.67,5.57,18.7,7.95,1.31,0.0
20130328:1700,437.77,425.25,105.14,8.74,27.61,10.69,0.34,0.0
20130328:1800,602.15,616.66,123.49,11.35,35.26,11.91,0.62,0.0
20130328:1900,726.35,761.91,135.8,13.15,40.88,11.55,1.38,0.0
20130328:2000,787.89,843.98,143.31,13.99,43.62,12.14,1.52,0.0
20130328:2100,793.55,853.69,144.73,13.78,42.91,12.57,1.52,0.0
20130328:2200,745.55,787.97,141.2,12.52,38.92,12.95,1.59,0.0
20130328:2300,642.15,654.2,131.31,10.35,32.37,12.93,1.59,0.0
20130329:0000,476.87,461.12,113.76,7.47,24.4,12.94,1.45,0.0
20130329:0100,265.3,243.41,86.17,4.19,15.15,12.66,1.38,0.0
20130329:0200,46.12,49.29,32.5,1.12,5.44,11.82,1.17,0.0
20130329:0300,0.0,0.0,0.0,0.0,0.0,10.54,0.69,0.0
20130329:0400,0.0,0.0,0.0,0.0,0.0,10.58,0.55,0.0
20130329:0500,0.0,0.0,0.0,0.0,0.0,8.68,1.1,0.0
20130329:0600,0.0,0.0,0.0,0.0,0.0,6.29,1.66,0.0
20130329:0700,0.0,0.0,0.0,0.0,0.0,5.77,1.93,0.0
20130329:0800,0.0,0.0,0.0,0.0,0.0,4.97,2.21,0.0
20130329:0900,0.0,0.0,0.0,0.0,0.0,4.6,2.34,0.0
20130329:1000,0.0,0.0,0.0,0.0,0.0,4.21,2.34,0.0
20130329:1100,0.0,0.0,0.0,0.0,0.0,3.92,2.21,0.0
20130329:1200,0.0,0.0,0.0,0.0,0.0,3.56,2.21,0.0
20130329:1300,0.0,0.0,0.0,0.0,0.0,3.21,2.14,0.0
20130329:1400,0.0,0.0,0.0,0.0,0.0,2.99,2.14,0.0
20130329:1500,29.99,0.0,47.77,1.04,9.48,3.83,1.79,0.0
20130329:1600,165.45,92.09,117.67,4.17,19.05,8.06,1.45,0.0
20130329:1700,445.31,426.73,105.78,8.84,27.97,10.13,1.17,0.0
20130329:1800,608.82,617.78,124.15,11.45,35.64,11.35,0.97,0.0
20130329:1900,718.01,762.8,136.49,13.25,41.28,11.72,0.76,0.0
20130329:2000,782.46,844.75,142.75,14.07,44.01,12.18,1.17,0.0
20130329:2100,792.42,851.58,145.33,13.84,43.29,12.88,1.59,0.0
20130329:2200,571.73,417.97,274.54,10.31,39.25,13.03,1.79,0.0
20130329:2300,503.5,387.45,217.18,8.68,32.67,13.21,1.86,0.0
20130330:0000,374.77,293.54,154.74,6.31,24.67,13.3,1.93,0.0
20130330:0100,265.89,244.57,85.57,4.25,15.4,12.94,1.66,0.0
20130330:0200,47.99,51.16,33.38,1.18,5.68,12.16,1.45,0.0
20130330:0300,0.0,0.0,0.0,0.0,0.0,11.03,1.59,0.0
20130330:0400,0.0,0.0,0.0,0.0,0.0,9.32,1.52,0.0
20130330:0500,0.0,0.0,0.0,0.0,0.0,7.64,1.59,0.0
20130330:0600,0.0,0.0,0.0,0.0,0.0,6.32,1.79,0.0
20130330:0700,0.0,0.0,0.0,0.0,0.0,6.24,1.72,0.0
20130330:0800,0.0,0.0,0.0,0.0,0.0,5.2,1.79,0.0
20130330:0900,0.0,0.0,0.0,0.0,0.0,4.66,1.79,0.0
20130330:1000,0.0,0.0,0.0,0.0,0.0,4.05,1.86,0.0
20130330:1100,0.0,0.0,0.0,0.0,0.0,3.63,2.21,0.0
20130330:1200,0.0,0.0,0.0,0.0,0.0,3.46,2.28,0.0
20130330:1300,0.0,0.0,0.0,0.0,0.0,3.25,2.21,0.0
20130330:1400,0.0,0.0,0.0,0.0,0.0,2.94,2.07,0.0
20130330:1500,42.59,39.89,43.56,2.55,9.83,4.08,1.72,0.0
20130330:1600,237.66,221.91,80.09,5.84,19.41,8.93,1.52,0.0
20130330:1700,448.53,432.96,106.59,9.02,28.34,11.81,1.38,0.0
20130330:1800,615.33,625.32,125.05,11.64,36.03,13.24,1.59,0.0
20130330:1900,734.65,770.42,137.43,13.45,41.68,13.15,1.93,0.0
20130330:2000,795.68,851.09,143.67,14.25,44.41,13.95,2.21,0.0
20130330:2100,804.05,858.07,146.29,14.01,43.66,14.55,2.55,0.0
20130330:2200,757.08,792.64,142.77,12.76,39.59,14.89,2.83,0.0
20130330:2300,652.12,659.47,132.9,10.58,32.97,14.97,2.97,0.0
20130331:0000,484.54,466.06,115.32,7.68,24.93,14.8,2.97,0.0
20130331:0100,271.23,248.95,87.79,4.39,15.65,14.15,2.62,0.0
20130331:0200,54.93,52.89,40.58,1.25,5.92,13.13,2.69,0.0
20130331:0300,0.0,0.0,0.0,0.0,0.0,11.8,2.83,0.0
20130331:0400,0.0,0.0,0.0,0.0,0.0,10.52,2.9,0.0
20130331:0500,0.0,0.0,0.0,0.0,0.0,9.09,2.83,0.0
20130331:0600,0.0,0.0,0.0,0.0,0.0,8.0,2.76,0.0
20130331:0700,0.0,0.0,0.0,0.0,0.0,7.63,2.48,0.0
20130331:0800,0.0,0.0,0.0,0.0,0.0,7.21,2.62,0.0
20130331:0900,0.0,0.0,0.0,0.0,0.0,6.91,2.83,0.0
20130331:1000,0.0,0.0,0.0,0.0,0.0,6.69,2.9,0.0
20130331:1100,0.0,0.0,0.0,0.0,0.0,6.52,2.9,0.0
20130331:1200,0.0,0.0,0.0,0.0,0.0,6.46,2.9,0.0
20130331:1300,0.0,0.0,0.0,0.0,0.0,6.48,2.9,0.0
20130331:1400,0.0,0.0,0.0,0.0,0.0,6.42,2.97,0.0
20130331:1500,43.76,41.85,44.28,2.65,10.17,7.24,2.76,0.0
20130331:1600,241.63,225.84,80.8,5.98,19.76,9.92,2.28,0.0
20130331:1700,451.42,436.79,107.32,9.15,28.71,13.23,1.86,0.0
20130331:1800,611.27,628.98,124.62,11.76,36.41,15.43,1.59,0.0
